Practice Number,Practice Name,Dispensing,Physical Address,City or Town,Province,Telephone Number,Longitude,Latitude,Map
1486543,MAMPANE,Yes,"Room 18 - 20 Block R, Klipgat",Mabopane,Gauteng,012 7079266,28°0′30.361″E,25°29′26.044″S,View Map
1486594,FEINBERG,No,"150 Johannesburg Road, Lyndhurst",Johannesburg,Gauteng,011 8826010,28°6′21.533″E,26°7′38.23″S,View Map
1486683,MAHOMED,Yes,"34 Edward Street, Roodepoort",Roodepoort,Gauteng,011 7663680,27°52′3.075″E,26°9′27.034″S,View Map
1488015,SINGH,Yes,"Shop 41 China Gate Mall Cnr, Zuurfontein & Oranjerivier, Kempton Park",Kempton Park,Gauteng,011 9765157,28°11′24.21″E,26°4′44.918″S,View Map
1488295,HOLLAND,Yes,"42 Macintyre Street, Jeppestown",Johannesburg,Gauteng,011 6140097,28°3′46.296″E,26°12′20.592″S,View Map
1489755,COETZEE,No,"969 15th Avenue, Wonderboom South",Pretoria,Gauteng,012 3313621,28°12′34.481″E,25°41′47.414″S,View Map
1489941,KHOMO,Yes,590 Block A,Mabopane,Gauteng,012 7026863,28°3′19.08″E,25°31′3″S,View Map
1490168,CASSIM,Yes,"103 Starling Road, Lenasia South Ext 1",Lenasia,Gauteng,011 8551442,27°50′55.36″E,26°23′17.232″S,View Map
1490559,MOPHOSHO,Yes,"36-6th Avenue, Alexandra",Alexandra,Gauteng,011 4438708,28°5′34.659″E,26°6′27.291″S,View Map
1490680,LEONG,Yes,"100 Albertina Sisulu Road, Bezuidenhout Valley",Johannesburg,Gauteng,011 6227522,28°5′39.552″E,26°11′17.081″S,View Map
1490796,TIMOL,Yes,"49 Lavers Street, Nigel",Nigel,Gauteng,011 8191111,28°28′14.664″E,26°25′6.06″S,View Map
1491865,GOVIND,Yes,"53 Cavendish Road, Yeoville",Johannesburg,Gauteng,011 4871082,28°3′58.248″E,26°10′39.036″S,View Map
1494031,DE KOCK,No,"750 Jacqueline Drive, Garsfontein",Pretoria,Gauteng,012 9932044,28°18′30.254″E,25°47′51.375″S,View Map
1496654,MITHAL,Yes,4 Kort Street,Johannesburg,Gauteng,011 834 5945,28°2′13.596″E,26°12′20.52″S,View Map
720666,AHMED,Yes,"19 Gompou Street, East Lynne",Pretoria,Gauteng,012 7717765,28°16′8.375″E,25°42′33.873″S,View Map
721964,SHADARI,Yes,"1606 Cnr Bluegum Str And Akasia, Ebony Park",Johannesburg,Gauteng,011 2043000,,,
742872,DR P C MAGAN,Yes,"55 Abraham Street, Eden Park",Alberton,Gauteng,011 3850441,28°7′39.053″E,26°22′39.461″S,View Map
772364,DRS COETZEE AND DEKKER,No,"207 Shilling Street, Queenswood",Pretoria,Gauteng,012 1118855,28°14′54.474″E,25°43′53.868″S,View Map
776904,IRINOYE,Yes,"Unit 1 Amanda Court, C/o Schoeman And Andries Street",Pretoria,Gauteng,012 3225785,,,
781827,DR VERMEULEN PRETORIUS JANSEN VA,No,"2 Cardigan Street, Dalview",Brakpan,Gauteng,011 7409620,28°21′16.447″E,26°14′41.542″S,View Map
785679,DR G M FOURIE AND ASSOCIATES,Yes,"99 Lenchen Avenue, Die Hoewes",Centurion,Gauteng,012 6637895,28°11′44.883″E,25°51′5.115″S,View Map
789135,AYOB,Yes,"Mutual & Federal Centre, 75 Helen Joseph Street, Johannesburg",Johannesburg,Gauteng,011 8349119,28°2′27.198″E,26°12′14.31″S,View Map
797863,NEUHOFF,No,"Neumed, 57 Kruger Street, Petersfield",Springs,Gauteng,011 8115780,,,
810797,KAHN,Yes,"1307 Lister Medical Building, 195 Rahima Moosa Street, Johannesburg",Johannesburg,Gauteng,011 3330118,28°2′44.98″E,26°12′3.918″S,View Map
883360,LAOSEBIKAN,Yes,286 Pretorius Str Central Tower,Pretoria,Gauteng,012 3234714,,,
912646,MOUKANGWE,Yes,"Barclay Square Shopping Centre, 424 Cnr Rissik & Celliers Street, Sunnyside",Pretoria,Gauteng,082 2542334,28°12′15.458″E,25°45′27.946″S,View Map
916420,DR SP DLONGOLO INC,Yes,"20 Russel Street, Benoni",Benoni,Gauteng,073 6404333,28°18′11.14″E,26°11′30.565″S,View Map
918822,CHOONARA,No,"22 Himalaya Street, Roshnee Extension1",Vereeniging,Gauteng,016 5562366,,,
927252,FABIYI,Yes,"Shop No. 2, Temba City Shopping Complex",Temba,Gauteng,012 7173672,,,
928135,NDONGALA,Yes,"111b Vincent Street, Meadowlands",Soweto,Gauteng,010 2107478,27°53′30.259″E,26°12′46.404″S,View Map
929484,DR P HIRA INC,Yes,"5-87 Dunswart Avenue, Benoni",Benoni,Gauteng,011 9143093,28°17′4.585″E,26°12′27.435″S,View Map
931802,WOKE,Yes,"368 Andries Street, Alphene Building",Pretoria Central,Gauteng,012 3224541,,,
935190,WERKMAN M AND WERKMAN C F,No,"52 Rubida Street, Lynnwood Ridge",Pretoria,Gauteng,012 3489595,28°18′5.514″E,25°45′46.065″S,View Map
961086,BREEWAG AND PARTNER,No,"Rietfontein Pavilion Centre, 359 Frates Road, Rietfontein",Pretoria,Gauteng,012 3292606,28°12′53.136″E,25°43′23.592″S,View Map
965936,DRS MERCHANT VAN HEERDEN VAN STA,No,"Castle Gate Lifestyle Centre, 478 Koedoesnek Avenue, Waterkloof Ridge",Pretoria,Gauteng,012 8806100,28°14′40.043″E,25°49′6.522″S,View Map
979929,DR S JINA INC,Yes,"32 Van Wyk Street, Roodepoort",Roodepoort,Gauteng,067 1391359,27°51′58.538″E,26°9′41.075″S,View Map
983373,ALAGBE,Yes,"Lifemed, Shop 13, Fedforum Building, C/o Van Der Walt And Pretorius S",Pretoria,Gauteng,012 8172070,,,
1024051,DR M JIVAN INC,Yes,"Shop 1 Diamond House, 35 Cnr Melle & Jorissen Street, Braamfontein",Johannesburg,Gauteng,011 3398908,28°2′7.697″E,26°11′32.174″S,View Map
1051369,MOUMI,No,"Shop 29a Witpoortjie Shopping, Centre Dirkie Uys Avenue, Witpoortjie",Roodepoort,Gauteng,011 7623339,27°49′54.377″E,26°8′27.454″S,View Map
1080660,DRABILE,Yes,"476 Paul Kruger Street, Maryannas Building",Pretoria,Gauteng, ,,,
1098861,DOCTOR M VAHED INC,Yes,"188 Victoria Street, Germiston",Germiston,Gauteng,011 8255516,28°9′53.27″E,26°12′52.412″S,View Map
1400533,MANSOOR,Yes,"Summit Building, 112 Claim Street, Hillbrow",Johannesburg,Gauteng,011 4842773,28°2′56.814″E,26°11′19.161″S,View Map
1404660,PIETERSE,No,"6 Cardigan Street, Dalview",Brakpan,Gauteng,011 7444417,28°21′14.909″E,26°14′44.108″S,View Map
1405535,LOUW JOHANNES A AND PARTNER,Yes,"6 Von Brandis Street, Krugersdorp",Krugersdorp,Gauteng,011 9531946,27°46′30.792″E,26°6′20.232″S,View Map
1407627,PHAYANE,Yes,"Tshepong Medical Centre, 18881 Tsamaya Avenue, Mamelodi East",Pretoria,Gauteng,012 8017230,28°22′39.185″E,25°42′46.813″S,View Map
1407902,KHOURY A E & PARTNERS,Yes,"East Cliff Medical Centre, 1 Satara Road, Eastcliff",Johannesburg South,Gauteng,011 4353129,28°3′20.132″E,26°16′6.25″S,View Map
1408097,MOTJUWADI,Yes,"First Care Medical Centre, 9160 Inciniba Circle, Pimville Ext 6",Pimville,Gauteng,011 9389017,27°54′54.133″E,26°15′49.395″S,View Map
1410563,MODI,Yes,"Joburg Medical Centre 126 Cnr, Rahima Moosa & Simmonds Street, Johannesburg",Johannesburg,Gauteng,011 8331588,28°2′21.371″E,26°12′7.003″S,View Map
1412485,KIRSTEN,No,"742 Coley Street, Garsfontein",Pretoria,Gauteng,012 9987557,28°18′13.1″E,25°48′1.716″S,View Map
1415190,HUMAN,No,"Shop 4 Anne Villa, 21 Lucy Street, Homestead",Germiston,Gauteng,011 8224262,28°11′16.426″E,26°10′35.964″S,View Map
1419307,KGALAMONO,Yes,"3801 Themba Drive, Kagiso",Krugersdorp,Gauteng,011 4106784,27°47′14.678″E,26°9′48.651″S,View Map
1425153,CHANDRAPREGAAS MAHARAJ,Yes,"41 Kagiso Drive, Kagiso 2 Ext 6",Krugersdorp,Gauteng,011 4106336,27°46′44.621″E,26°9′56.6″S,View Map
1425544,RAMONTJA,Yes,"Ext 15, 2138 Umhlume Street, Olievenhoutbosch",Centurion,Gauteng,010 5992331,28°5′56.141″E,25°54′33.693″S,View Map
1425811,WEYERS,Yes,"Cnr Siersteen Street & Mosaic, Road, Silverton",Pretoria,Gauteng,012 8049858,28°17′47.99″E,25°43′0.8″S,View Map
1426737,SETATI,Yes,"Ntsimane Sekedi, 49 4th Avenue, Alexandra",Alexandra,Gauteng,011 4433229,28°5′29.125″E,26°6′32.645″S,View Map
1427059,DULABH,Yes,"101 September Avenue, Klipspruit West Ext 2",Soweto,Gauteng,011 9472013,27°52′24.83″E,26°17′55.586″S,View Map
1429140,PILLAY-LUNGOOMIAH,No,"635 Fazel Street, Actonville",Benoni,Gauteng,011 4210786,28°17′55.5″E,26°12′45.36″S,View Map
1429337,PUPUMA,Yes,"35 Brittlewood Street, Dlamini Ext 3",Soweto,Gauteng,011 9357175,27°53′31.988″E,26°15′45.392″S,View Map
1429752,KHAN,No,"Room 1 Ennerdale Medical &, Dental Centre 3399 1st Avenue, Ennerdale Ext 3",Ennerdale,Gauteng,011 8555320,27°50′7.015″E,26°24′52.114″S,View Map
1430599,MAPHALI,Yes,"4 Renbro Shopping Centre, 30 Old Warmbaths Road, Hammanskraal",Hammanskraal,Gauteng,012 7113599,28°17′5.024″E,25°24′12.407″S,View Map
1430777,VAN DER WALT,No,"31 Monument Road, Kempton Park",Kempton Park,Gauteng,011 9703308,28°14′1.32″E,26°5′52.44″S,View Map
1434152,JOOSUB,Yes,"190 9th Avenue, Laudium",Centurion,Gauteng,012 3743176,28°6′16.787″E,25°47′16.363″S,View Map
1436511,PRETORIUS,No,"Shop 38 The Mall @ Reds Cnr, Rooihuiskraal & Hendrik Verwoerd, Road",Rooihuiskraal,Gauteng,012 6568983,28°8′13.614″E,25°52′20.626″S,View Map
1437011,KHAN,Yes,"1307 Lister Medical Center, 195 Jeppe Street",Johannesburg,Gauteng,011 3330118,28°2′45.024″E,26°12′3.456″S,View Map
1438247,LAHER,Yes,"1622 First Avenue, Bakerton",Springs,Gauteng,011 7334550,28°28′4.85″E,26°13′30.81″S,View Map
1438646,MASEMOLA,Yes,"152 Emkhathini Section, 28 Hadebe Street, Tembisa",Tembisa,Gauteng, ,28°13′2.335″E,26°0′41.08″S,View Map
1439022,JOOSUB,Yes,"Unit 6, The Inner Circle, 28 Eas, Ferreirasdorp",Johannesburg,Gauteng,083 4107864,28°2′5.995″E,26°12′22.077″S,View Map
1439545,ABOOBAKER,Yes,"Shop 12 Jhina Centre, 189 6th Avenue, Laudium",Centurion,Gauteng,012 3742775,28°6′22.255″E,25°47′15.187″S,View Map
1441086,KHAN,Yes,"398 Adams Road, Evaton",Evaton,Gauteng,016 5910090,27°50′13.776″E,26°32′11.904″S,View Map
1444670,KALAN,No,"Shop 15 Ground Floor Barclay, Square 293 Rissik Street, Sunnyside",Pretoria,Gauteng,012 3418243,28°12′15.811″E,25°45′27.887″S,View Map
1445049,MASHIGO,Yes,"House 351b Malateng Section, Jericho",Brits Rural,Gauteng,012 7291035,27°48′17.153″E,25°20′20.655″S,View Map
1445383,CHIBOO,Yes,"3 Kelvin Street, Industria",Johannesburg,Gauteng,011 4743158,27°58′18.516″E,26°12′0.612″S,View Map
1447777,MOHASOANE,Yes,"2067 Tshithuthune Street, Tshiawelo",Soweto,Gauteng,011 9807995,27°50′57.948″E,26°16′44.497″S,View Map
1448706,VAN ZYL,Yes,"Office No 10 Meyersdal Mall Cnr, Michelle Avenue & Hennie, Alberts Street",Meyersdal,Gauteng,011 8671678,28°5′28.998″E,26°17′24.259″S,View Map
1449001,ALLY,Yes,"Church Square, 179 Wf Nkomo Street, Pretoria",Pretoria,Gauteng,012 3265718,28°11′11.922″E,25°44′48.401″S,View Map
1449087,DAYA,Yes,"7 Max Beyers Street, Eldoradopark",Soweto,Gauteng,011 3423883,27°54′25.886″E,26°16′54.683″S,View Map
1449478,ALLY,Yes,"339 Bloed Street, Pretoria",Pretoria,Gauteng,012 3258281,28°11′39.646″E,25°44′25.3″S,View Map
1449672,MOODLEY,Yes,"Shop 15 Dekema Mall, Cnr Dekema & Steenbras Road, Wadeville",Germiston,Gauteng,011 8270608,28°11′9.575″E,26°16′2.208″S,View Map
213659,PATEL,Yes,"1st Floor Newgate Shopping, Centre Cnr Sauer & Jeppe Street, Newtown",Johannesburg,Gauteng,011 8343305,28°2′15.134″E,26°12′7.918″S,View Map
219363,NKOSI,Yes,"127 Kakongo Street, Leboeng Section",Tembisa,Gauteng,083 2914814,28°12′39.915″E,26°0′9.649″S,View Map
229474,KHAN,No,"12 Boerneef Street, Vorna Valley",Midrand,Gauteng,010 2240195,28°6′37.169″E,25°59′58.833″S,View Map
235326,DR S WADVALLA INC,Yes,"Primecure Merafi, Cnr Moliwa & Matlomo Street, Tladi",Soweto,Gauteng,011 9323503,27°50′43.979″E,26°15′40.022″S,View Map
236586,MAKINE,Yes,"136 Andrew Mapheto Drive, Tsenelong Ext",Tembisa,Gauteng,010 8002411,28°13′20.214″E,26°0′4.85″S,View Map
236942,GENESS,Yes,"Room 1108 Lister Building, 195 Rahima Moosa Street, Johannesburg",Johannesburg,Gauteng,011 3360982,28°2′46.212″E,26°12′2.073″S,View Map
243531,"LYNE, FAKIER & PADAYATCHI INC",No,"Mondeor Medical Centre, 274 Columbine Avenue, Mondeor",Johannesburg South,Gauteng,011 6805684,28°0′39.061″E,26°16′38.052″S,View Map
247510,LAWAL,Yes,"Shop 10 Spar Complex, Morula Street, Soshanguve Block Ff",Soshanguve,Gauteng,061 5063023,28°6′0.394″E,25°28′40.205″S,View Map
261270,MABOTJA,Yes,"9 Kapokvoel Avenue, Birch Acres",Kempton Park,Gauteng,011 3912353,28°12′13.86″E,26°2′42.648″S,View Map
269042,NAGAR,Yes,"Xavier Health Centre, 34 Xavier Street, Robertsham",Johannesburg South,Gauteng,011 4331127,28°0′26.897″E,26°15′7.587″S,View Map
270458,MAPIMELE,Yes,"Shop 5 Phumula Market Square, Cnr Luthando & Ludlelo Street, Roodekop Ext 21",Germiston,Gauteng,011 8652348,28°11′49.301″E,26°18′51.054″S,View Map
274496,OSOARE,Yes,"12 Goldman Street, Shop 8 Opp Pick N Pay",Florida,Gauteng,011 4729626,27°52′19.632″E,26°13′18.084″S,View Map
281719,LEKETI AND ASSOCIATES INC.,Yes,"Civic Centre, 18069 Ngungunyane Street, Kwathema",Brakpan,Gauteng,011 7364405,28°23′30.042″E,26°17′46.131″S,View Map
287199,RAMMUTLA,Yes,"23303 Orange Street, Protea Glen",Soweto,Gauteng,011 0295223,27°46′52.128″E,26°16′51.474″S,View Map
289337,ILUNGA,Yes,"68 Voortrekker Road, New Redruth",Alberton,Gauteng,010 0231034,28°7′19.543″E,26°16′15.797″S,View Map
291706,MONGWE,Yes,"Suite 4 Ground Floor Louis, Pasteur Hospital 360 Francis, Baard Street",Pretoria,Gauteng,012 3200255,28°11′47.843″E,25°44′54.275″S,View Map
293970,COMFORT N NGONYAMA INC,Yes,"Shop 10 Rainy Hill Shopping, Centre 163 Bram Fischer Drive, Ferndale",Randburg,Gauteng,011 8861271,28°0′19.15″E,26°5′39.507″S,View Map
305227,LYNE AND PARTNERS,No,"22 Cnr Main Road & Ino Street, Comptonville",Johannesburg South,Gauteng,011 9413796,27°57′39.866″E,26°16′34.493″S,View Map
310492,NWAFOR,Yes,"Room 12 Theo's Place, 256 Johannes Ramokhoase Street, Pretoria",Pretoria,Gauteng,012 3238303,28°11′26.7″E,25°44′35.383″S,View Map
319333,KHAN,Yes,"Eldorado Park Medical Centre, Cnr Main Road & Kremetart Avenue, Eldoradopark Ext 3",Soweto,Gauteng,011 3422737,27°54′50.523″E,26°17′44.031″S,View Map
319422,OBENG-MIREKU,Yes,"79 Silwood Road, Bramley",Johannesburg,Gauteng,011 8878017,28°5′10.437″E,26°7′35.866″S,View Map
321850,"KILLIAN, NIENABER ASSOCIATES",Yes,"258b Jean Avenue, Die Hoewes",Centurion,Gauteng,012 6640617,28°11′39.883″E,25°50′48.884″S,View Map
323853,MAMETJA,Yes,"Shop 107 Thorntree Shopping, Complex Senyenyane Street, Soshanguve Block Vv",Soshanguve,Gauteng,012 7913730,28°6′13.598″E,25°34′53.055″S,View Map
324043,THIBELA,Yes,"46 Maunde Street, Saulsville",Pretoria,Gauteng, ,28°3′25.924″E,25°46′49.721″S,View Map
325422,MAKDA,Yes,"Glenvista Medical Centre, 104 True North Road, Mulbarton",Johannesburg,Gauteng,011 4323929,28°3′17.676″E,26°17′16.476″S,View Map
326178,KAZADI,Yes,"Easy Park Complex, 35 Jacobs Street, Chamdor",Krugersdorp,Gauteng,011 0677877,27°47′40.2″E,26°9′20.52″S,View Map
331635,MALAPANE,No,"Shop 13 Block A Bloed Street, Mall Cnr Lilian Ngoyi & Bloed, Street",Pretoria,Gauteng,012 3241322,28°11′30.049″E,25°44′23.255″S,View Map
338109,KALULA,Yes,"Undisclosed, Orange Farm",Orange Farm,Gauteng, ,27°51′37.61″E,26°27′33.779″S,View Map
345164,ARAJUWA,Yes,"Paragon Medical Centre, 499 Jorissen Street, Sunnyside",Pretoria,Gauteng,012 3431539,28°12′50.662″E,25°45′26.132″S,View Map
350222,MALOKA,Yes,"1014 Block U, Lucas Mangope Road, Mabopane",Mabopane,Gauteng,012 7258209,28°2′21.566″E,25°30′53.627″S,View Map
357030,DRS MOHAMED K D & MAHOMED SD,No,"House 10c Netcare Garden City, Hospital 35 Bartlett Road, Mayfair West",Johannesburg,Gauteng,011 4955243,28°0′14.694″E,26°11′51.086″S,View Map
359033,IMARALU,Yes,"5116 Tennessee Avenue, Cosmo City Ext 5",Roodepoort,Gauteng,081 4264658,27°56′25.526″E,26°1′14.632″S,View Map
361747,MALEPFANI,Yes,"Shop 17 Prinsman Place, 327 Sisulu Street, Pretoria",Pretoria,Gauteng,012 0230198,28°11′44.031″E,25°44′58.034″S,View Map
363383,ONYEMAOBI,Yes,"Shop 7, Maboa Street, Atteridgeville",Pretoria,Gauteng,012 3739000,28°4′39.156″E,25°45′55.73″S,View Map
406031,MOEPI,Yes,"1 Cnr Ruth First & Desmond Tutu, Street, Lotus Gardens",Pretoria,Gauteng,012 0011560,28°4′25.086″E,25°45′14.017″S,View Map
406058,VERWEY,No,"Medical Suites Loerie Park, 894 Loerie Street, Silverton Ext 5",Pretoria,Gauteng,012 8037460,28°19′14.057″E,25°43′55.355″S,View Map
410233,VALLY,No,"Shop 14 Standard Bank Centre, 291 Helen Joseph Street, Pretoria",Pretoria,Gauteng,012 3233824,28°11′33.091″E,25°44′46.916″S,View Map
415421,HLUNGWANE,Yes,"Kenlaw Building, 27 De Beer Street, Kenlaw Building",Braamfontein,Gauteng,011 4030495,28°2′3.715″E,26°11′32.313″S,View Map
437492,DR ISMAIL MITHA INC,Yes,"29 Nedbank Plaza, 175 Steve Biko Road, Arcadia",Pretoria,Gauteng,012 3235926,28°12′12.495″E,25°44′38.657″S,View Map
451363,BARNES,No,"95 Breytenbach Street, Nigel",Nigel,Gauteng,011 8148288,28°28′25.451″E,26°25′17.855″S,View Map
464716,DUBERT,No,"103 6th Street, Northmead",Benoni,Gauteng,011 9692474,28°18′37.051″E,26°8′58.906″S,View Map
470848,MANENZHE,Yes,"19846 Eagle Street, Khutsong",Pretoria,Gauteng,012 8123234,28°22′28.091″E,25°42′55.552″S,View Map
472425,RINGANE & ASSOCIATES INC,Yes,"2413 Cnr Mahalefele Road &, Mncube Drive, Dube",Soweto,Gauteng,011 9825375,27°53′40.73″E,26°14′17.478″S,View Map
477729,JIRRIE,Yes,"Suite M1 1st Floor Block C, Northlands Corner Cnr Witkoppen, & New Market Road",North Riding,Gauteng,010 0201777,27°57′26.432″E,26°2′22.654″S,View Map
478768,CASSIM,Yes,"Ridgeway Garden Health Centre, 177 Swartgoud Street, Ridgeway",Johannesburg South,Gauteng,011 4333985,28°0′11.946″E,26°15′58.585″S,View Map
488895,ADEDEJI,Yes,"Green House Medical Practice, Cnr Love Drive & Lesedi Street, Nellmapius",Pretoria,Gauteng, ,28°21′24.864″E,25°44′26.718″S,View Map
500658,A K AMOD INC,Yes,"1st Floor Focus House Building, 86 Cnr Loveday & Plein Street, Johannesburg",Johannesburg,Gauteng,011 8368435,28°2′26.717″E,26°12′0.389″S,View Map
504602,ALLY,Yes,"Hatfield Square Shop13, 1115 Burnett Street, Hatfield",Pretoria,Gauteng,012 3622799,28°14′12.12″E,25°45′1.8″S,View Map
512575,TSHISHONGA,Yes,"Shop79a Soshanguve Crossing Cnr, Ruth 1st And Aubrey Matlala Rd",Soshanguve,Gauteng,012 7930082,28°5′23.031″E,25°33′0.532″S,View Map
546496,MODIMOLA,Yes,2693 Lemur Street Ext 33,Riverside View,Gauteng,010 7451266,,,
551139,JOOSUB,No,"Eldomed Centre 1286 Cnr Penguin, Crescent & Willem Botha Drive, Eldoraigne",Centurion,Gauteng,012 6600111,28°8′38.32″E,25°50′38.544″S,View Map
552593,PUTTER W F AND ASSOCIATES,No,"Shop 8 Highveld Park Mall, C/o John Vorster And Logan Ave",Highveld,Gauteng,012 6651183,28°11′52.929″E,25°52′33.866″S,View Map
562203,MUKUDU,Yes,"29 Landor Street, Tulisa Park",Johannesburg South,Gauteng,011 6131141,28°5′42.723″E,26°15′1.702″S,View Map
571792,NEUHOFF W J W AND NIEMAND C J,No,"57 Kruger Street, Petersfield",Springs,Gauteng,011 8115780,28°25′51.657″E,26°14′0.473″S,View Map
577537,SENAMELA,Yes,"14319 Tsamaya Ave, 14319 Tsamaya Avenue, Medex Care",Mamelodi,Gauteng,012 8011155,28°22′59.478″E,25°42′33.034″S,View Map
615641,MASIA,Yes,"Ext 45 Rosslyn Gardens, 2251 Ikhambi Street, Rosslyn",Akasia,Gauteng,067 0936549,28°4′1.507″E,25°37′6.54″S,View Map
635065,DR PEER AND PARTNERS INC,Yes,185 Meyer Street,Germiston,Gauteng,011 8250252,28°9′48.78″E,26°12′50.328″S,View Map
635855,DLAMINI,Yes,16992 Mathewson Street,Daveyton,Gauteng,011 4247868,,,
638196,DR SAUERMANN AND PARTNERS INCORP,No,"Shop 22 Pick N Pay Hyper, Atterbury Road, Faerie Glen",Pretoria,Gauteng,012 0040661,28°18′17.068″E,25°47′2.167″S,View Map
645419,DR D M RAKUMAKOE INCORPORATED,Yes,"128 Fox Street, Marshalltown",Johannesburg,Gauteng,010 1419500,28°2′40.416″E,26°12′22.068″S,View Map
693901,ONAKOYA,Yes,"25 A Celtis Ridge Shopping, Centre Seedcracker Street, Centurion",Centurion,Gauteng,012 0019377,28°6′47.179″E,25°52′33.744″S,View Map
700711,DR CAJEE AND ASSOCIATES INC,Yes,"Area 4 Eastern Concourse Park, Station Wanderers Street, Johannesburg",Johannesburg,Gauteng,011 3334597,28°2′29.738″E,26°11′43.878″S,View Map
702234,KRUGER,No,62 Ueckermann Street,Heidelberg,Gauteng,016 3414121,,,
706582,FATEYE,Yes,"Shop 305 Dobsonville Mall, 75 Elias Motsoaledi Road, Dobsonville",Soweto,Gauteng,011 9888381,27°52′23.261″E,26°13′30.143″S,View Map
2143,SAID,Yes,"Shop 9 Pick N Pay Centre, Cnr Briggs & Forbes Street, Westonaria",Westonaria,Gauteng,011 7532091,27°39′17.501″E,26°19′6.687″S,View Map
16667,KAKA,Yes,"Drift Boulevard, Muldersdrif",Krugersdorp,Gauteng,072 6596494,27°51′16.535″E,26°1′46.413″S,View Map
21431,DR T A OLODE AND PARTNER,Yes,"66 Bedford Avenue, Benoni",Benoni,Gauteng,011 8452809,28°19′3.152″E,26°11′17.944″S,View Map
26530,SMIT,No,"Shop U002 1st Floor, North Rand Road, Beyerspark",Boksburg,Gauteng,011 8265801,28°14′16.434″E,26°10′47.445″S,View Map
27677,MONNAKGOTLA,Yes,"4757 Tigerfish Street, Kaalfontein Ext 17",Midrand,Gauteng,011 2611968,28°10′22.648″E,25°59′17.028″S,View Map
30333,MOLAPISI,Yes,"43 Sontonga Road, Ramokonopi East",Germiston,Gauteng,011 9055643,28°9′43.92″E,26°21′21.816″S,View Map
31429,CHAUKE,Yes,"192/3 Mokhetle Street, Soshanguve Block Uu",Soshanguve,Gauteng,012 7917987,28°4′25.319″E,25°33′7.447″S,View Map
31984,MOOLLA,Yes,"12 Fedler Street, Randfontein",Randfontein,Gauteng,011 6935697,27°41′56.004″E,26°11′2.616″S,View Map
37338,ESAT,Yes,"34 Xavier Street, Robertsham",Johannesburg South,Gauteng,011 6803474,28°0′26.892″E,26°15′7.596″S,View Map
37834,SLABBERT J D & ODENDAAL L,Yes,"Witpoortjie Medical Centre, 26 Mc Grath Avenue, Witpoortjie",Roodepoort,Gauteng,011 7624223,27°49′43.824″E,26°8′37.5″S,View Map
50687,SOOKRAJ,Yes,"229 Enkeldoorn Avenue, Montanapark",Pretoria,Gauteng,012 5481295,28°15′10.508″E,25°41′1.651″S,View Map
54364,CARNO,Yes,"49 Rifle Range Road, Ridgeway",Johannesburg South,Gauteng,011 6802226,27°59′56.63″E,26°15′25.222″S,View Map
68438,NTOANE,Yes,"Unknown, Soshanguve Block Bb",Soshanguve,Gauteng,012 7900004,28°6′12.562″E,25°29′22.127″S,View Map
69752,NDWAMBI,Yes,"Unknown, Soshanguve Block R",Soshanguve,Gauteng,012 7122105,28°6′44.164″E,26°16′14.733″S,View Map
70513,MUHAMMAD,Yes,"3 - 9 Fuschia Road, Klipspruit West",Soweto,Gauteng,011 9472411,27°52′46.991″E,26°17′28.396″S,View Map
70866,YAKO,Yes,"3814 Ralerata Street, Mohlakeng",Randfontein,Gauteng,011 4147088,,,
71072,DU PLOOY,No,"15 Doring Avenue, Montanapark",Pretoria,Gauteng,012 5486882,28°14′54.898″E,25°40′59.06″S,View Map
71080,BHIKHA,Yes,"Suite 16 Ground Floor Barclay, Square 293 Rissik Street, Sunnyside",Pretoria,Gauteng,012 3410142,28°12′17.306″E,25°45′28.946″S,View Map
71277,DOUW-KHUMALO,Yes,"1377 Moepshe Street, Othandweni Ext 1",Thokoza,Gauteng,011 8604864,28°8′0.777″E,26°21′39.605″S,View Map
73067,MOKHESI,Yes,"27 Jansen Avenue, Randpark Ridge",Randburg,Gauteng,081 2143687,28°2′36.888″E,26°8′40.416″S,View Map
77615,OKHUE,Yes,2847 Cnr 1 & 6,Diepsloot,Gauteng,012 0231881,28°0′41.4″E,25°55′48.72″S,View Map
82120,THOBANE,Yes,"Site 7604b, Cnr Ben Naude & Marthinus Street",Diepkloof Zone 2,Gauteng,011 9858627,27°57′14.04″E,26°15′0″S,View Map
83011,TSHIYOYO,Yes,"Unknown, Mabopane",Mabopane,Gauteng,083 4970806,28°3′19.009″E,25°30′45.655″S,View Map
84441,ESSACK Y M & MITHA E A,Yes,"Rivonia Village Unit 5, 1st Floor Rivonia Boulevard, Rivonia",Sandton,Gauteng,016 9338723,27°50′10.976″E,26°41′49.783″S,View Map
85324,HLEZIYO,Yes,"Sebokeng Plaza, 22 Moshoeshoe Street, Sebokeng",Sebokeng,Gauteng,016 5923378,27°50′46.364″E,26°36′8.402″S,View Map
88390,MATABANE,Yes,"Cnr D M Marokane & Reverend R T, J Namane Drive, Tembisa",Tembisa,Gauteng,011 2014795,28°13′9.101″E,25°59′50.811″S,View Map
88498,MOKOENA,Yes,"Phase 2, 2314 Main Road, Tshepiso",Vanderbijlpark,Gauteng,016 4518906,27°52′27.362″E,26°40′24.092″S,View Map
